id,text,trait,reverse
1,Is talkative,Extraversion,False
2,Tends to find fault with others,Agreeableness,True
3,Does a thorough job,Conscientiousness,False
4,"Is depressed, blue",Neuroticism,False
5,"Is original, comes up with new ideas",Openness,False
6,Is reserved,Extraversion,True
7,Is helpful and unselfish with others,Agreeableness,False
8,Can be somewhat careless,Conscientiousness,True
9,"Is relaxed, handles stress well",Neuroticism,True
10,Is curious about many different things,Openness,False
11,Is full of energy,Extraversion,False
12,Starts quarrels with others,Agreeableness,True
13,Is a reliable worker,Conscientiousness,False
14,Can be tense,Neuroticism,False
15,"Is ingenious, a deep thinker",Openness,False
16,Generates a lot of enthusiasm,Extraversion,False
17,Has a forgiving nature,Agreeableness,False
18,Tends to be disorganized,Conscientiousness,True
19,Worries a lot,Neuroticism,False
20,Has an active imagination,Openness,False
21,Tends to be quiet,Extraversion,True
22,Is generally trusting,Agreeableness,False
23,Tends to be lazy,Conscientiousness,True
24,"Is emotionally stable, not easily upset",Neuroticism,True
25,Is inventive,Openness,False
26,Has an assertive personality,Extraversion,False
27,Can be cold and aloof,Agreeableness,True
28,Perseveres until the task is finished,Conscientiousness,False
29,Can be moody,Neuroticism,False
30,"Values artistic, aesthetic experiences",Openness,False
31,"Is sometimes shy, inhibited",Extraversion,True
32,Is considerate and kind to almost everyone,Agreeableness,False
33,Does things efficiently,Conscientiousness,False
34,Remains calm in tense situations,Neuroticism,True
35,Prefers work that is routine,Openness,True
36,"Is outgoing, sociable",Extraversion,False
37,Is sometimes rude to others,Agreeableness,True
38,Makes plans and follows through with them,Conscientiousness,False
39,Gets nervous easily,Neuroticism,False
40,"Likes to reflect, play with ideas",Openness,False
41,Has few artistic interests,Openness,True
42,Likes to cooperate with others,Agreeableness,False
43,Is easily distracted,Conscientiousness,True
44,"Is sophisticated in art, music, or literature",Openness,False
